source,subsource,Unit_Total_Cost,ItemNumber,dprocessedon,Total
"AMAZON FBA","Amazon UK","14.49","MS-S925-LOC-001","04/02/2021 21:17:31","1"
"AMAZON FBA","Amazon UK","14.49","MS-S925-LOC-001","24/02/2021 16:02:51","1"
"AMAZON FBA","Amazon CA","50.89","GS-S925-ANK-026","02/02/2021 09:37:09","1"
"AMAZON","Amazon DE","19.15","BIA-S925-CHAIN-020-200-500","24/02/2021 14:56:11","1"
"AMAZON FBA","Amazon ES","23.69","PAV-S925-HOOP-BALI-004-030","11/02/2021 18:52:02","1"
"AMAZON","Amazon DE","16.89","BIA-S925-CHAIN-031-230-450","05/02/2021 14:57:41","1"
"AMAZON FBA","Amazon UK","14.69","MS-S925-LOC-001","01/02/2021 20:52:11","1"
"AMAZON FBA","Amazon UK","10.49","BIA-S925-CHAIN-001-030-500","26/02/2021 16:16:51","1"
"AMAZON FBA","Amazon FR","18.49","BIA-GP-CHAIN-012-100-500","11/02/2021 00:57:06","1"
"AMAZON FBA","Amazon UK","9.99","BIA-S925-CHAIN-001-035-360","04/02/2021 23:12:29","1"
"AMAZON FBA","Amazon DE","18.39","BIA-S925-CHAIN-031-230-500","09/02/2021 22:01:57","1"
"AMAZON FBA","Amazon CA","17.69","BIA-S925-CHAIN-001-030-500","03/02/2021 01:48:06","1"
"AMAZON FBA","Amazon DE","9.4","BIA-S925-CHAIN-001-030-500","11/02/2021 13:59:48","1"
"AMAZON FBA","Amazon UK","10.49","BIA-S925-CHAIN-001-030-500","14/02/2021 21:17:01","1"
"AMAZON FBA","Amazon UK","12.09","BIA-S925-CHAIN-001-040-450","22/02/2021 22:21:56","1"
"AMAZON FBA","Amazon IT","14.09","BIA-S925-CHAIN-001-030-500","03/02/2021 07:58:28","1"
"AMAZON FBA","Amazon DE","16.39","BIA-S925-CHAIN-041-220-220-250","01/02/2021 19:23:18","1"
"AMAZON FBA","Amazon US","12.97","BIA-S925-CHAIN-015-120-500","12/02/2021 05:34:09","1"
"AMAZON FBA","Amazon UK","10.19","BIA-S925-CHAIN-001-030-500","01/02/2021 22:49:18","1"
"AMAZON FBA","Amazon DE","15.69","MS-S925-LOC-001","02/02/2021 23:39:30","1"
