Order ID,Sale ID,Date,Order,Transaction type,Sale type,Sales channel,POS location,Billing country,Billing region,Billing city,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Product,Variant,Variant SKU,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales
4012623003763,12864465043571,2021-10-02T13:47:50+01:00,#WEB1936,product,order,Online Store,,United Kingdom,Scotland,Glasgow,United Kingdom,Scotland,Glasgow,Earrings,Amberta,Silver Geometric Half Hoop Earrings,,S925-WHI-EAR-HOOP-015-035,1,13.390,0.000,0.000,13.390,0.000,2.680,16.070
4012654985331,12864559153267,2021-10-02T14:21:36+01:00,#WEB1937,product,order,Online Store,,Ireland,Wexford,Ballymoney,Ireland,Wexford,Ballymoney,Earrings,Amberta,Silver 20.3 mm Zirconia Hoop Earrings,,S925-WHI-EAR-HOOP-020-020,1,13.590,0.000,0.000,13.590,0.000,3.130,16.720
4012654985331,12864559186035,2021-10-02T14:21:36+01:00,#WEB1937,product,order,Online Store,,Ireland,Wexford,Ballymoney,Ireland,Wexford,Ballymoney,Anklet,Amberta,Silver Ball Anklet with Beads,,BIA-S925-CHAIN-019-110-220-250,1,8.590,0.000,0.000,8.590,0.000,1.980,10.570
4012654985331,12864559218803,2021-10-02T14:21:36+01:00,#WEB1937,product,order,Online Store,,Ireland,Wexford,Ballymoney,Ireland,Wexford,Ballymoney,Earrings,Amberta,Silver 12.3 mm Zirconia Hoop Earrings,,S925-WHI-EAR-HOOP-020-012,2,17.580,0.000,0.000,17.580,0.000,4.040,21.620
4012654985331,12864559120499,2021-10-02T14:21:36+01:00,#WEB1937,product,order,Online Store,,Ireland,Wexford,Ballymoney,Ireland,Wexford,Ballymoney,Anklet,Amberta,Silver Rolo Anklet With Coins,,GS-S925-ANK-026,1,21.290,0.000,0.000,21.290,0.000,4.900,26.190
4012654985331,12864559087731,2021-10-02T14:21:36+01:00,#WEB1937,product,order,Online Store,,Ireland,Wexford,Ballymoney,Ireland,Wexford,Ballymoney,Earrings,Amberta,Silver 75 mm Hoop Earrings,,BIA-S925-HOOP-005,1,16.790,0.000,0.000,16.790,0.000,3.860,20.650
4014868070515,12870956843123,2021-10-03T23:06:07+01:00,#WEB1938,product,order,Online Store,,United Kingdom,England,Manchester,United Kingdom,England,Manchester,Chains,Amberta,Silver 2 mm Curb Chain,"28""/70 cm",BIA-S925-CHAIN-001-060-700,1,15.190,0.000,0.000,15.190,0.000,3.040,18.230
4015416311923,12872614477939,2021-10-04T08:26:42+01:00,#WEB1939,product,order,Online Store,,United Kingdom,England,Telford,United Kingdom,England,Telford,Chains,Amberta,Gold Plated Silver Box Chain,"24""/60 cm",BIA-GP-CHAIN-012-100-600,1,9.490,0.000,0.000,9.490,0.000,1.900,11.390
4015416311923,12872614576243,2021-10-04T08:26:42+01:00,#WEB1939,product,order,Online Store,,United Kingdom,England,Telford,United Kingdom,England,Telford,Chains,Amberta,Rose Plated Silver 1.3 mm Curb Chain,"18""/45 cm",BIA-ROSE-CHAIN-001-035-450,1,7.190,0.000,0.000,7.190,0.000,1.440,8.630
4015416311923,12872614445171,2021-10-04T08:26:42+01:00,#WEB1939,product,order,Online Store,,United Kingdom,England,Telford,United Kingdom,England,Telford,Chains,Amberta,Gold Plated Silver 1.3 mm Curb Chain,"18""/45 cm",BIA-GP-CHAIN-001-035-450,2,14.180,0.000,0.000,14.180,0.000,2.840,17.020
4015416311923,12872614510707,2021-10-04T08:26:42+01:00,#WEB1939,product,order,Online Store,,United Kingdom,England,Telford,United Kingdom,England,Telford,Chains,Amberta,Silver Rope Chain,"24""/60 cm",BIA-S925-CHAIN-022-150-600,5,61.950,0.000,0.000,61.950,0.000,12.390,74.340
4015416311923,12872614543475,2021-10-04T08:26:42+01:00,#WEB1939,product,order,Online Store,,United Kingdom,England,Telford,United Kingdom,England,Telford,Chains,Amberta,Silver Rope Chain,"18""/45 cm",BIA-S925-CHAIN-022-150-450,5,50.450,0.000,0.000,50.450,0.000,10.090,60.540
4015685959795,12873372041331,2021-10-04T13:30:43+01:00,#WEB1940,product,order,Online Store,,United Kingdom,England,Harlow,United Kingdom,England,Harlow,Earrings,Amberta,Silver Bird Drop Earrings,,TIE-S925-EAR-011,1,13.290,0.000,0.000,13.290,0.000,2.660,15.950
4015745532019,12873552232563,2021-10-04T14:32:09+01:00,#WEB1941,product,order,Online Store,,Ireland,Louth,Dundalk,Ireland,Louth,Dundalk,Earrings,Amberta,Silver 7 mm Sleeper Hoop Earrings,,GS-S925-HOOP-007,2,12.380,0.000,0.000,12.380,0.000,2.850,15.230
4015745532019,12873552167027,2021-10-04T14:32:09+01:00,#WEB1941,product,order,Online Store,,Ireland,Louth,Dundalk,Ireland,Louth,Dundalk,Earrings,Amberta,Silver Black Diamond Lumini Crystal Mini Stud Earrings,,S925-WHI-EAR-SWA-002-215,1,6.590,0.000,0.000,6.590,0.000,1.520,8.110
4015745532019,12873552265331,2021-10-04T14:32:09+01:00,#WEB1941,product,order,Online Store,,Ireland,Louth,Dundalk,Ireland,Louth,Dundalk,Earrings,Amberta,Silver 20.3 mm Zirconia Hoop Earrings,,S925-WHI-EAR-HOOP-020-020,2,27.180,0.000,0.000,27.180,0.000,6.250,33.430
3994997260403,12877993443443,2021-10-05T10:14:15+01:00,#WEB1913,product,return,Online Store,,Australia,South Australia,Christies Beach,Australia,South Australia,Christies Beach,Extender,Amberta,Gold Plated Silver Chain Extender Set,,GS-GP-CHAIN-EXT-001,-1,0.000,0.000,-6.990,-6.990,0.000,0.000,-6.990
4017605476467,12879149596787,2021-10-05T16:17:05+01:00,#WEB1942,product,order,Online Store,,United Kingdom,England,London,Ireland,Dublin,Dublin 8,Earrings,Amberta,Silver 7 mm Sleeper Hoop Earrings,,GS-S925-HOOP-007,1,6.190,0.000,0.000,6.190,0.000,1.420,7.610
4017733337203,12879526723699,2021-10-05T17:31:29+01:00,#WEB1943,product,order,Online Store,,United Kingdom,England,Gloucester,United Kingdom,Wales,Cardiff,Anklet,Amberta,Silver Ball Anklet with Beads,,BIA-S925-CHAIN-019-110-220-250,1,8.590,0.000,0.000,8.590,0.000,1.720,10.310
4017733337203,12879526690931,2021-10-05T17:31:29+01:00,#WEB1943,product,order,Online Store,,United Kingdom,England,Gloucester,United Kingdom,Wales,Cardiff,Bracelet,Amberta,Silver Heart Link Bracelet,,BIA-S925-CHAIN-052-040-200,1,5.690,0.000,0.000,5.690,0.000,1.140,6.830
