externalinvoicenumber,status,dateofpurchase,dateofdelivery,itemnumber,quantity,delivered
"PO220222-22/002FAN","DELIVERED","22/02/2022 17:00:00","06/04/2022 12:24:09","S925-WHI-ANK-PEN-003","150","150"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-GP-CHAIN-004-040-600","200","200"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-GP-CHAIN-004-040-600","99","99"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-GP-CHAIN-004-040-600","250","250"
"PO210527-21/009PAV-Part 2 Zodiac","DELIVERED","27/05/2021 09:00:00","13/10/2021 12:25:27","S925-WHI-EAR-STUD-ZOD-001-CAN","200","200"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","S925-WHI-EAR-DROP-010","50","50"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-040-W","20","20"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-035-Q","20","20"
"PO210927-21/001SAR","DELIVERED","27/09/2021 10:00:00","04/02/2022 09:53:17","S925-WHI-BRA-SLI-006-EAW","50","50"
"PO220425-22/008PAV","OPEN","26/04/2022 09:46:23","26/04/2022 09:46:23","S925-WHI-RIN-HAM-001-V","100","0"
"PO210930-21/004MAR","DELIVERED","30/09/2021 11:00:00","23/12/2021 14:41:23","S925-WHI-EAR-HOOP-PEN-011-012","197","197"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-001-035-500","100","0"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-001-035-500","350","350"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-CHAIN-001-035-500","201","201"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-S925-CHAIN-001-035-500","350","0"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-001-035-500","401","401"
"PO210917-21/003FAN","DELIVERED","17/09/2021 13:00:00","16/12/2021 14:54:13","S925-WHI-BRA-CHA-046-200","100","100"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-024-140-450","500","491"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-024-140-450","500","101"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-CHAIN-024-140-450","152","152"
"PO210930-21/004MAR","DELIVERED","30/09/2021 11:00:00","23/12/2021 14:41:23","S925-WHI-EAR-HOOP-PEN-012-012","200","200"
"PO220331-22/007BIA","OPEN","31/03/2022 10:59:27","31/03/2022 10:59:27","BIA-GP-HOOP-HIN-010","100","0"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-GP-HOOP-HIN-010","102","102"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-GP-HOOP-HIN-010","149","149"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-EAR-DROP-SWA-001-202","288","288"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","PAV-S925-EAR-CRAW-005","150","150"
"PO210716-21/012PAV","DELIVERED","16/07/2021 10:00:00","01/10/2021 14:51:07","PAV-S925-EAR-CRAW-005","200","200"
"PO210517-21/008PAV","DELIVERED","17/05/2021 12:00:00","12/07/2021 14:28:06","PAV-S925-EAR-CRAW-005","100","100"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-RIN-CEL-006-O","100","100"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","S925-WHI-RIN-CEL-006-O","100","100"
"PO210609-21/010PAV-Part 2 (Correct Size Ring)","DELIVERED","09/06/2021 12:00:00","23/09/2021 12:23:40","S925-WHI-RIN-CEL-006-O","100","100"
"PO210729-21/008CHR Part 3","DELIVERED","29/07/2021 09:00:00","07/12/2021 16:17:06","BIA-GP-CHAIN-058-060-700","52","52"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-012-100-450","200","0"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-012-100-450","856","856"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-012-100-450","700","201"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-CHAIN-012-100-450","301","301"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-025-T","25","25"
"PO210423-21/001MS","DELIVERED","23/04/2021 09:00:00","18/06/2021 09:45:21","MS-S925-TOE-002","521","521"
"PO220119-22/001MAR","DELIVERED","19/01/2022 17:00:00","25/02/2022 12:00:29","S925-WHI-EAR-HOOP-011-025","100","100"
"PO210729-21/003MAR","DELIVERED","29/07/2021 15:00:00","28/09/2021 08:32:03","S925-WHI-EAR-HOOP-011-025","53","53"
"PO210609-21/002MAR","DELIVERED","09/06/2021 15:00:00","09/09/2021 15:02:26","S925-WHI-EAR-HOOP-011-025","54","54"
"PO211210-21/007MAR","DELIVERED","10/12/2021 16:00:00","07/02/2022 16:30:36","S925-WHI-EAR-HOOP-011-025","50","50"
"PO210917-21/003FAN","DELIVERED","17/09/2021 13:00:00","16/12/2021 14:54:13","S925-WHI-NEC-PEN-013","50","50"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","S925-WHI-PEN-MUS-001","50","50"
"PO211015-21/014GS","DELIVERED","10/10/2021 14:00:00","10/03/2022 15:32:19","GS-S925-CHAIN-SLI-001-030","101","101"
"PO210423-21/005GS-Part2","DELIVERED","23/04/2021 15:00:00","29/06/2021 15:24:09","GS-S925-CHAIN-SLI-001-030","310","310"
"PO220511-22/004GS","OPEN","12/05/2022 13:09:16","12/05/2022 13:09:16","GS-S925-CHAIN-SLI-001-030","100","0"
"PO211210-21/017GS","DELIVERED","10/12/2021 15:00:00","10/03/2022 15:37:07","GS-S925-CHAIN-SLI-001-030","105","105"
"PO211111-21/016GS","DELIVERED","11/11/2021 15:00:00","14/02/2022 15:57:47","GS-S925-CHAIN-SLI-001-030","103","103"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-S925-CHAIN-019-110-200","100","0"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-019-110-200","103","103"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-019-110-200","203","203"
"PO220425-22/009BIA","OPEN","26/04/2022 09:43:45","26/04/2022 09:43:45","BIA-S925-CHAIN-019-110-200","50","0"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-019-110-200","50","0"
"PO211015-21/016PAV","DELIVERED","15/10/2021 11:00:00","30/12/2021 11:31:23","S925-WHI-PEN-LOC-006","50","50"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-019-110-500","101","101"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-027-055-450","100","100"
"PO(20/04/2021)","DELIVERED","20/04/2021 13:22:47","20/04/2021 13:38:45","BIA-S925-CHAIN-043-200-180","202","202"
"PO220119-22/001GS","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","BIA-S925-CHAIN-043-200-180","662","662"
"PO220217-22/002GS","PARTIAL","17/02/2022 17:11:39","17/02/2022 17:11:16","BIA-S925-CHAIN-043-200-180","162","162"
"PO210622-21/010GS -Part 2","DELIVERED","22/06/2021 08:00:00","11/08/2021 15:59:21","BIA-S925-CHAIN-043-200-180","350","350"
"PO210517-21/007GS","DELIVERED","17/05/2021 08:00:00","29/06/2021 15:35:37","BIA-S925-CHAIN-043-200-180","184","184"
"PO210622-21/010GS Part 3","DELIVERED","22/06/2021 08:00:00","20/09/2021 10:46:16","BIA-S925-CHAIN-043-200-180","46","46"
"PO210729-21/012GS-Part 3","DELIVERED","29/07/2021 09:00:00","18/11/2021 14:24:34","BIA-S925-CHAIN-043-200-180","365","365"
"PO220119-22/001MAR","DELIVERED","19/01/2022 17:00:00","25/02/2022 12:00:29","S925-WHI-EAR-HOOP-012-020","150","150"
"PO211015-21/005MAR","DELIVERED","15/10/2021 11:00:00","09/12/2021 11:15:09","S925-WHI-EAR-HOOP-012-020","101","101"
"PO220511-22/004MAR","OPEN","12/05/2022 13:26:19","12/05/2022 13:26:19","S925-WHI-EAR-HOOP-012-020","50","0"
"PO211210-21/007MAR","DELIVERED","10/12/2021 16:00:00","07/02/2022 16:30:36","S925-WHI-EAR-HOOP-012-020","100","100"
"PO211111-21/006MAR","DELIVERED","11/11/2021 12:00:00","09/12/2021 11:17:04","S925-WHI-EAR-HOOP-012-020","53","53"
"PO220203-22/002MAR","DELIVERED","03/02/2022 13:00:00","21/03/2022 12:25:02","S925-WHI-EAR-HOOP-012-020","150","150"
"PO210729-21/012GS-Part 1","DELIVERED","29/07/2021 11:00:00","20/09/2021 11:17:15","GS-S925-CHAIN-SLI-002-030","107","107"
"PO210622-21/010GS Part 3","DELIVERED","22/06/2021 08:00:00","20/09/2021 10:46:16","GS-S925-CHAIN-SLI-002-030","106","106"
"PO220217-22/002GS","PARTIAL","17/02/2022 17:11:39","17/02/2022 17:11:16","GS-S925-CHAIN-SLI-002-030","150","0"
"PO220119-22/001GS","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","GS-S925-CHAIN-SLI-002-030","203","203"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-027","200","200"
"PO210429-21/005PAV- BLUE SWA","DELIVERED","29/04/2021 11:00:00","14/07/2021 08:47:19","S925-WHI-EAR-STUD-SWA-006-266","289","289"
"PO220303-22/004PAV","DELIVERED","04/03/2022 11:29:11","05/05/2022 10:53:27","S925-WHI-EAR-STUD-SWA-006-266","144","144"
"PO220303-22/004PAV","DELIVERED","04/03/2022 11:29:11","05/05/2022 10:53:27","PAV-S925-HOOP-BALI-004-030","100","100"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","PAV-S925-HOOP-BALI-004-030","100","100"
"PO220119-22/001PAV","DELIVERED","19/01/2022 17:00:00","29/03/2022 14:43:00","PAV-S925-HOOP-BALI-004-030","200","200"
"PO220217-22/003PAV","DELIVERED","17/02/2022 17:12:05","05/05/2022 10:54:39","PAV-S925-HOOP-BALI-004-030","100","100"
"PO210716-21/012PAV","DELIVERED","16/07/2021 10:00:00","01/10/2021 14:51:07","PAV-S925-HOOP-BALI-004-030","200","200"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","PAV-S925-HOOP-BALI-004-030","250","250"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","PAV-S925-HOOP-BALI-004-030","150","150"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-040-N","20","20"
"PO210930-21/004MAR","DELIVERED","30/09/2021 11:00:00","23/12/2021 14:41:23","S925-WHI-EAR-HOOP-PEN-007-012","199","199"
"PO220425-22/007CHR","OPEN","26/04/2022 09:45:05","26/04/2022 09:45:05","S925-WHI-NEC-CHA-029-044-400","50","0"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-WHI-NEC-CHA-029-044-400","90","90"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-025-O","45","45"
"PO210716-21/012PAV","DELIVERED","16/07/2021 10:00:00","01/10/2021 14:51:07","S925-WHI-EAR-CRAW-008-WH","50","50"
"PO210622-21/011PAV","DELIVERED","22/06/2021 10:00:00","04/08/2021 14:50:12","S925-WHI-EAR-CRAW-008-WH","50","50"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","S925-WHI-EAR-CRAW-008-WH","49","49"
"PO220303-22/004PAV","DELIVERED","04/03/2022 11:29:11","05/05/2022 10:53:27","S925-WHI-EAR-CRAW-008-WH","100","100"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","S925-WHI-EAR-CRAW-008-WH","100","100"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-EAR-CRAW-008-WH","100","100"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-NEC-PEN-CZ-001-001","150","150"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-RIN-CEL-004","100","100"
"PO210928-21/001ADD","DELIVERED","28/09/2021 11:00:00","23/12/2021 14:16:42","G9K-YEL-EAR-STUD-PERL-001-7to8","50","50"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-012-200-650","151","151"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-012-200-650","200","0"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-CHAIN-012-200-650","101","101"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-025-U","25","25"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-GP-CHAIN-012-100-360","51","51"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-NEC-PEN-CZ-001-539","150","150"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","S925-WHI-RIN-GEM-001-Q","100","100"
"PO220317-22/005PAV","OPEN","18/03/2022 09:47:24","18/03/2022 09:47:24","S925-WHI-RIN-GEM-001-Q","100","0"
"PO210622-21/011PAV","DELIVERED","22/06/2021 10:00:00","04/08/2021 14:50:12","S925-WHI-RIN-GEM-001-Q","50","50"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-RIN-GEM-001-Q","50","50"
"PO220412-22/007PAV","OPEN","12/04/2022 10:16:30","12/04/2022 10:16:30","S925-WHI-RIN-GEM-001-Q","50","0"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","S925-WHI-RIN-GEM-001-Q","50","50"
"PO220425-22/008PAV","OPEN","26/04/2022 09:46:23","26/04/2022 09:46:23","S925-WHI-RIN-GEM-001-Q","50","0"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-WHI-EAR-STUD-026","200","200"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-WHI-EAR-STUD-034","200","200"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-WHI-BRA-CHA-054-200","150","150"
"PO210917-21/003FAN","DELIVERED","17/09/2021 13:00:00","16/12/2021 14:54:13","S925-WHI-BRA-CHA-047-200","100","100"
"PO210927-21/001SAR","DELIVERED","27/09/2021 10:00:00","04/02/2022 09:53:17","S925-WHI-BRA-SLI-006-RAW","50","50"
"PO220217-22/003CHR","PARTIAL","17/02/2022 17:07:51","17/02/2022 17:07:51","BIA-GP-CHAIN-060-200","82","82"
"PO-29/01/2021","DELIVERED","04/02/2021 15:27:38","04/02/2021 15:45:40","BIA-GP-CHAIN-060-200","204","204"
"PO220203-22/002CHR","DELIVERED","03/02/2022 13:00:00","02/05/2022 08:21:21","BIA-GP-CHAIN-060-200","105","105"
"PO211015-21/010CHR","PARTIAL","15/10/2021 11:00:00","15/10/2021 11:00:00","BIA-GP-CHAIN-060-200","105","105"
"PO210729-21/008CHR Part 3","DELIVERED","29/07/2021 09:00:00","07/12/2021 16:17:06","BIA-GP-CHAIN-060-200","101","101"
"PO220425-22/008PAV","OPEN","26/04/2022 09:46:23","26/04/2022 09:46:23","S925-WHI-RIN-HAM-001-R","50","0"
"PO210527-21/009PAV-Part 1","DELIVERED","27/05/2021 09:00:00","20/07/2021 09:50:24","S925-WHI-RIN-HAM-001-R","100","100"
"PO220331-22/006PAV","OPEN","31/03/2022 11:02:19","31/03/2022 11:02:19","S925-WHI-RIN-HAM-001-R","50","0"
"PO220217-22/002GS","PARTIAL","17/02/2022 17:11:39","17/02/2022 17:11:16","S925-WHI-PEN-LET-001-F","53","53"
