source,subsource,Unit_Total_Cost,ItemNumber,dprocessedon,Total
AMAZON FBA,Amazon UK,12.99,BIA-S925-CHAIN-015-120-700,21/04/2022 23:12,1
AMAZON FBA,Amazon DE,17.14,BIA-S925-CHAIN-041-220-220-250,22/04/2022 03:56,1
AMAZON FBA,Transter AMA CA,27.12,BIA-GP-CHAIN-012-100-500,28/04/2022 07:26,1
AMAZON FBA,Transter AMA US,31.05,BIA-S925-CHAIN-012-200-450,04/04/2022 14:53,1
AMAZON FBA,Amazon UK,10.99,BIA-S925-CHAIN-041-220-190,08/04/2022 19:52,2
AMAZON FBA,Amazon UK,19.99,S925-BAW-BRA-CHA-012-190,24/04/2022 16:55,1
AMAZON FBA,Transter AMA US,11.97,BIA-S925-HOOP-001,16/04/2022 15:56,1
AMAZON FBA,Amazon FR,12.99,BIA-S925-CHAIN-001-035-360,13/04/2022 11:26,2
AMAZON FBA,Amazon UK,12.99,S925-BC-1764-PEN-2Y,06/04/2022 19:52,1
AMAZON FBA,Amazon UK,44.99,BIA-S925-CHAIN-055-230-500,09/04/2022 00:57,1
AMAZON FBA,Transter AMA US,12.36,BIA-S925-HOOP-001,06/04/2022 19:00,1
AMAZON FBA,Transter AMA CA,19.42,BIA-S925-CHAIN-001-035-360,13/04/2022 20:56,1
AMAZON FBA,Transter AMA US,19.65,BIA-S925-CHAIN-020-200-450,16/04/2022 16:37,1
AMAZON FBA,Amazon UK,11.99,BIA-S925-CHAIN-004-040-600,06/04/2022 22:22,1
AMAZON FBA,Amazon ES,22.99,BIA-S925-CHAIN-029-500-COL-190,26/04/2022 12:58,1
AMAZON FBA,Amazon ES,16.49,S925-WHI-EAR-HOOP-009-020,08/04/2022 16:26,1
AMAZON FBA,Amazon DE,15.99,BIA-S925-CHAIN-024-140-450,21/04/2022 02:28,1
AMAZON FBA,Transter AMA CA,36.37,BIA-S925-CHAIN-043-200-450,07/04/2022 21:56,1
AMAZON FBA,Transter AMA AU,44.99,BIA-S925-CHAIN-012-200-450,23/04/2022 17:44,1
AMAZON FBA,Amazon UK,10.99,BIA-S925-CHAIN-001-040-450,27/04/2022 20:29,1
AMAZON FBA,Amazon IT,29.99,BIA-S925-CHAIN-043-200-550,21/04/2022 01:31,1
AMAZON FBA,Amazon ES,3.99,,28/04/2022 01:12,1
AMAZON FBA,Amazon UK,11.99,S925-WHI-EAR-STUD-PERL-002-9to10,13/04/2022 22:52,1
AMAZON FBA,Transter AMA CA,28.8,BIA-S925-CHAIN-024-140-450,20/04/2022 03:44,1
AMAZON FBA,Amazon UK,28.49,S925-WHI-NEC-CHA-028-045-410,15/04/2022 13:25,1
AMAZON FBA,Amazon DE,9.99,BIA-S925-CHAIN-001-035-360,09/04/2022 16:16,1
AMAZON FBA,Transter AMA US,26.86,S925-WHI-RIN-HAM-001-L,05/04/2022 07:15,1
AMAZON FBA,Transter AMA AU,65.99,BIA-BRP-CHAIN-060-150-500,29/04/2022 17:32,1
AMAZON FBA,Transter AMA CA,28.92,BIA-S925-CHAIN-041-220-220-250,18/04/2022 01:40,1
AMAZON FBA,Amazon UK,18.99,S925-WHI-EAR-CRAW-009-PNK,24/04/2022 02:31,1
AMAZON FBA,Transter AMA US,20.84,BIA-S925-CHAIN-020-200-500,03/04/2022 09:53,1
AMAZON FBA,Transter AMA US,19.49,BIA-S925-CHAIN-029-500-COL-190,26/04/2022 07:22,1
AMAZON FBA,Transter AMA CA,19.42,BIA-S925-CHAIN-001-035-360,28/04/2022 18:00,1
AMAZON FBA,Amazon IT,15.49,BIA-S925-HOOP-001,02/04/2022 13:35,1
AMAZON FBA,Amazon UK,14.99,S925-WHI-RIN-CEL-006-I,08/04/2022 00:48,1
AMAZON FBA,Amazon IT,24.99,BIA-GP-CHAIN-045-140-250,20/04/2022 19:56,1
AMAZON FBA,Amazon FR,18.65,BIA-S925-CHAIN-024-190-180,03/04/2022 09:36,1
AMAZON FBA,Transter AMA US,18.12,S925-WHI-PEN-LET-001-A,20/04/2022 14:53,1
AMAZON FBA,Amazon ES,17.99,BIA-S925-CHAIN-024-190-180,03/04/2022 20:51,1
AMAZON FBA,Amazon FR,18.49,BIA-S925-CHAIN-024-190-180,01/04/2022 19:01,1
AMAZON FBA,Amazon DE,17.99,BIA-ROSE-CHAIN-031-230-450,29/04/2022 21:21,1
AMAZON FBA,Transter AMA CA,28.85,BIA-S925-CHAIN-031-230-450,07/04/2022 16:39,1
AMAZON FBA,Amazon UK,27.99,BIA-S925-CHAIN-016-350-550,10/04/2022 00:28,1
AMAZON FBA,Amazon UK,11.99,S925-WHI-EAR-STUD-PERL-002-9to10,07/04/2022 23:12,1
AMAZON FBA,Transter AMA CA,34.45,BIA-S925-CHAIN-029-500-COL-190,21/04/2022 07:49,1
AMAZON FBA,Amazon UK,9.99,BIA-S925-CHAIN-049-020-500,10/04/2022 00:15,1
AMAZON FBA,Amazon UK,13.99,BIA-S925-CHAIN-041-220-220-250,03/04/2022 00:26,1
AMAZON FBA,Amazon UK,37.99,S925-WHI-NEC-CHA-024-047-500,11/04/2022 03:48,1
AMAZON FBA,Amazon IT,17.49,S925-WHI-EAR-HOOP-009-020,01/04/2022 22:00,1
AMAZON FBA,Amazon DE,14.99,BIA-S925-CHAIN-008-060-180,07/04/2022 15:27,1
AMAZON FBA,Transter AMA AU,17.99,S925-WHI-EAR-STUD-035,20/04/2022 05:21,1
AMAZON FBA,Amazon FR,15.99,BIA-S925-CHAIN-004-040-500,05/04/2022 00:14,1
AMAZON FBA,Amazon DE,30.99,BIA-S925-CHAIN-016-350-550,15/04/2022 20:20,1
AMAZON FBA,Transter AMA US,13,BIA-S925-CHAIN-015-120-500,01/04/2022 21:31,1
AMAZON FBA,Amazon ES,23.99,BIA-GP-CHAIN-024-140-450,15/04/2022 22:02,1
AMAZON FBA,Amazon UK,9.99,BIA-S925-CHAIN-043-200-180,04/04/2022 23:27,1
AMAZON FBA,Transter AMA CA,19.09,BIA-S925-CHAIN-001-035-360,07/04/2022 06:16,1
AMAZON FBA,Transter AMA US,12.16,BIA-S925-HOOP-001,02/04/2022 07:18,1
AMAZON FBA,Amazon ES,24.99,S925-WHI-EAR-CEL-001,08/04/2022 13:25,1
AMAZON FBA,Amazon UK,12.99,BIA-GP-CHAIN-012-100-500,17/04/2022 00:50,1
EBAY,EBAY1,9.79,BIA-GP-CHAIN-012-100-450,06/04/2022 13:36,1
AMAZON FBA,Amazon UK,12.99,BIA-S925-CHAIN-024-190-190,06/04/2022 23:56,1
AMAZON FBA,Amazon UK,11.99,BIA-GP-CHAIN-001-035-500,09/04/2022 22:44,1
AMAZON FBA,Transter AMA CA,21.35,BIA-ROSE-CHAIN-001-035-360,06/04/2022 21:13,1
AMAZON FBA,Amazon UK,13.99,BIA-S925-CHAIN-001-040-700,27/04/2022 22:17,1
AMAZON FBA,Amazon IT,22.99,BIA-GP-CHAIN-015-120-700,10/04/2022 21:51,1
AMAZON FBA,Amazon ES,13.99,BIA-S925-CHAIN-001-035-700,01/04/2022 16:46,1
AMAZON FBA,Amazon UK,10.99,BIA-S925-CHAIN-001-035-700,18/04/2022 16:37,1
AMAZON FBA,Transter AMA CA,29.2,BIA-S925-CHAIN-001-040-700,11/04/2022 22:21,1
AMAZON FBA,Amazon UK,12.99,BIA-S925-CHAIN-006-035-550,18/04/2022 13:34,1
AMAZON FBA,Amazon DE,10.99,BIA-S925-CHAIN-052-040-250,27/04/2022 03:30,1
AMAZON FBA,Transter AMA CA,21.01,BIA-S925-CHAIN-019-110-190,15/04/2022 21:27,1
AMAZON FBA,Transter AMA AU,18.99,BIA-GP-CHAIN-001-035-500,10/04/2022 14:31,1
AMAZON FBA,Transter AMA CA,24.48,BIA-S925-CHAIN-001-035-700,30/04/2022 04:21,1
AMAZON FBA,Transter AMA CA,27.47,BIA-S925-CHAIN-019-110-220-250,12/04/2022 21:15,1
AMAZON FBA,Amazon UK,8.99,GS-S925-HOOP-007,05/04/2022 12:27,1
AMAZON FBA,Transter AMA US,10.79,GS-S925-CHAIN-EXT-001,13/04/2022 15:23,1
AMAZON,Transter AMA US,27.64,BIA-S925-CHAIN-020-200-700,04/04/2022 13:41,1
AMAZON FBA,Amazon UK,39.32,S925-WHI-NEC-CHA-029-036-600,30/04/2022 23:21,1
AMAZON FBA,Transter AMA CA,20.15,PAV-S925-EAR-BALL-001-020-2PAIR,12/04/2022 10:48,1
AMAZON FBA,Transter AMA US,12.72,BIA-S925-CHAIN-045-140-180,24/04/2022 16:43,1
AMAZON FBA,Amazon UK,16.99,S925-WHI-EAR-STUD-SWA-006-001-BBL,20/04/2022 21:12,1
AMAZON FBA,Transter AMA US,12.09,BIA-S925-CHAIN-019-110-190,10/04/2022 18:26,1
AMAZON FBA,Transter AMA US,11.54,PAV-S925-EAR-BALL-001-020-2PAIR,16/04/2022 18:54,1
