source,subsource,Unit_Total_Cost,ItemNumber,dprocessedon,Total
"AMAZON FBA","Amazon UK","29.99","BIA-S925-CHAIN-029-500-450","03/02/2022 12:52:24","1"
"AMAZON FBA","Amazon FR","9.99","BIA-S925-CHAIN-001-030-600","14/02/2022 15:24:38","1"
"AMAZON FBA","Amazon DE","13.99","BIA-S925-CHAIN-006-035-500","16/02/2022 16:07:06","1"
"AMAZON FBA","Amazon ES","35.99","BIA-S925-CHAIN-029-500-450","11/02/2022 10:17:38","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-CHAIN-006-035-500","06/02/2022 17:18:58","1"
"AMAZON FBA","Amazon DE","14.99","BIA-S925-HOOP-HIN-020","15/02/2022 16:31:38","1"
"AMAZON FBA","Amazon FR","21.99","GS-GP-PEN-COIN-001","02/02/2022 15:33:20","1"
"AMAZON FBA","Amazon UK","19.99","BIA-S925-CHAIN-041-220-600","17/02/2022 20:30:39","1"
"AMAZON","Amazon ES","20.99","BIA-S925-CHAIN-029-500-190","02/02/2022 14:39:40","1"
"AMAZON FBA","Transter AMA CA","161.38","S925-WHI-NEC-CHA-024-079-550","22/02/2022 11:44:58","1"
"AMAZON FBA","Amazon IT","15.99","S925-WHI-PEN-STAR-001","17/02/2022 02:20:32","2"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-012-100-600","26/02/2022 02:15:32","1"
"AMAZON FBA","Transter AMA US","12.68","BIA-S925-CHAIN-015-120-450","09/02/2022 06:17:31","1"
"AMAZON FBA","Amazon UK","10.99","BIA-ROSE-CHAIN-001-035-450","01/02/2022 15:40:45","1"
"AMAZON FBA","Transter AMA CA","19.09","BIA-S925-CHAIN-052-040-200","04/02/2022 18:41:24","2"
"AMAZON FBA","Amazon DE","12.99","BIA-S925-CHAIN-006-035-450","24/02/2022 20:59:08","1"
"AMAZON FBA","Transter AMA CA","38.97","BIA-S925-CHAIN-051-250-600","09/02/2022 01:54:21","1"
"AMAZON FBA","Amazon ES","17.35","BIA-S925-CHAIN-029-500-190","21/02/2022 17:36:06","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-019-110-180","03/02/2022 20:30:55","1"
"EBAY","EBAY1","13.59","BIA-S925-CHAIN-051-250-450","09/02/2022 14:29:10","1"
"AMAZON FBA","Amazon DE","16.99","BIA-GP-CHAIN-019-110-250","20/02/2022 01:18:11","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-HOOP-002","14/02/2022 18:32:56","1"
"AMAZON FBA","Amazon ES","12.99","BIA-S925-CHAIN-004-040-450","07/02/2022 21:40:24","1"
"AMAZON FBA","Amazon IT","9.99","BIA-S925-CHAIN-001-030-600","10/02/2022 02:32:55","1"
"AMAZON FBA","Amazon UK","14.99","PAV-S925-HOOP-BALI-002-020","02/02/2022 23:43:52","1"
"AMAZON FBA","Transter AMA US","12.4","BIA-S925-CHAIN-015-120-450","09/02/2022 21:11:49","1"
"AMAZON FBA","Transter AMA US","14.99","S925-WHI-EAR-STUD-SWA-006-266","08/02/2022 06:16:34","1"
"AMAZON FBA","Amazon DE","16.99","PAV-S925-HOOP-BALI-002-020","28/02/2022 01:37:39","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-HOOP-002","12/02/2022 19:26:33","1"
"AMAZON FBA","Transter AMA US","12.29","BIA-ROSE-CHAIN-001-035-450","15/02/2022 22:17:15","1"
"AMAZON FBA","Transter AMA US","32.24","BIA-GP-CHAIN-020-200-700","24/02/2022 15:51:46","1"
"AMAZON FBA","Transter AMA CA","131.45","S925-WHI-NEC-CHA-024-079-500","18/02/2022 13:51:26","1"
"AMAZON FBA","Amazon UK","11.99","S925-BC-5940-EAR-6G","02/02/2022 03:17:13","1"
"AMAZON FBA","Amazon FR","12.99","BIA-S925-CHAIN-045-140-190","07/02/2022 08:51:45","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-006-035-450","21/02/2022 13:19:17","1"
"AMAZON FBA","Amazon DE","21.99","BIA-S925-CHAIN-051-250-600","01/02/2022 21:21:05","1"
"AMAZON FBA","Amazon DE","9.99","BIA-S925-CHAIN-001-030-600","02/02/2022 02:26:36","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","15/02/2022 23:23:57","1"
"AMAZON FBA","Amazon ES","13.99","S925-BC-0396-PEN-3H","02/02/2022 16:59:17","1"
"AMAZON FBA","Amazon ES","9.99","BIA-S925-CHAIN-001-030-600","08/02/2022 22:25:51","2"
"AMAZON FBA","Transter AMA US","12.92","BIA-S925-CHAIN-015-120-450","24/02/2022 03:22:52","1"
"AMAZON FBA","Amazon UK","14.99","BIA-S925-HOOP-003","05/02/2022 02:04:24","1"
"AMAZON FBA","Amazon UK","18.99","GS-GP-PEN-COIN-001","16/02/2022 05:31:22","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-HOOP-002","26/02/2022 01:59:13","1"
"AMAZON FBA","Amazon IT","18.99","PAV-S925-HOOP-BALI-002-020","24/02/2022 01:18:43","1"
"AMAZON FBA","Transter AMA US","14.98","BIA-S925-HOOP-002","26/02/2022 17:30:35","2"
"AMAZON FBA","Amazon UK","10.99","BIA-ROSE-CHAIN-001-035-450","03/02/2022 04:21:13","1"
"AMAZON","Transter AMA US","14.56","BIA-S925-HOOP-002","28/02/2022 14:29:06","1"
"AMAZON FBA","Amazon IT","68.99","BIA-BRP-CHAIN-059-050-500","09/02/2022 00:08:04","1"
"AMAZON FBA","Amazon DE","12.99","S925-YEL-BRA-CHA-042-190","16/02/2022 16:31:13","1"
"AMAZON FBA","Amazon FR","13.09","BIA-S925-CHAIN-004-040-450","18/02/2022 11:33:03","1"
"AMAZON FBA","Transter AMA AU","16.99","BIA-S925-HOOP-HIN-020","05/02/2022 11:07:52","1"
"AMAZON FBA","Amazon UK","14.99","S925-WHI-RIN-GEM-001-N","12/02/2022 23:36:31","1"
"AMAZON FBA","Amazon FR","13.99","BIA-ROSE-CHAIN-001-035-450","22/02/2022 20:29:59","1"
"AMAZON FBA","Amazon ES","16.99","S925-YEL-EAR-HOOP-020-012","09/02/2022 18:32:19","1"
"AMAZON FBA","Transter AMA US","17.11","BIA-S925-CHAIN-015-120-900","07/02/2022 05:23:34","1"
"AMAZON FBA","Amazon UK","34.99","S925-WHI-NEC-CHA-024-047-450","14/02/2022 16:36:38","1"
"AMAZON FBA","Amazon UK","14.99","PAV-S925-HOOP-BALI-002-020","21/02/2022 04:25:13","1"
"AMAZON FBA","Amazon DE","11.99","S925-YEL-BRA-CHA-020-200","12/02/2022 05:37:07","1"
"AMAZON FBA","Amazon UK","14.99","S925-WHI-RIN-GEM-001-J","26/02/2022 17:16:59","1"
"AMAZON FBA","Transter AMA CA","20.88","BIA-S925-CHAIN-004-040-450","04/02/2022 00:01:51","1"
"AMAZON FBA","Transter AMA CA","27","BIA-S925-CHAIN-019-110-220-250","04/02/2022 20:56:06","1"
"AMAZON FBA","Amazon DE","10.99","GS-S925-CHAIN-EXT-001","28/02/2022 01:18:37","1"
"AMAZON FBA","Amazon UK","14.99","S925-WHI-RIN-GEM-001-P","11/02/2022 21:30:42","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-024-190-190","25/02/2022 21:26:19","1"
"AMAZON FBA","Amazon ES","11.99","GS-S925-CHAIN-EXT-001","09/02/2022 03:18:52","1"
"AMAZON FBA","Amazon FR","11.99","BIA-GP-HOOP-HIN-010","17/02/2022 00:55:50","1"
"AMAZON FBA","Amazon DE","10.99","GS-S925-CHAIN-EXT-001","25/02/2022 22:29:39","1"
"AMAZON FBA","Amazon UK","13.99","BIA-S925-CHAIN-016-350-180","01/02/2022 18:24:57","1"
"AMAZON FBA","Amazon DE","28.99","BIA-S925-CHAIN-020-200-700","01/02/2022 21:12:15","1"
"AMAZON FBA","Amazon UK","10.99","GS-GP-CHAIN-EXT-001","23/02/2022 01:58:48","1"
"AMAZON FBA","Amazon UK","18.99","BIA-S925-CHAIN-019-110-600","12/02/2022 00:07:19","1"
"AMAZON FBA","Amazon ES","15.99","BIA-GP-CHAIN-007-040-500","26/02/2022 18:33:21","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-019-110-220-250","20/02/2022 21:15:59","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-019-110-220-250","13/02/2022 21:02:28","1"
"AMAZON FBA","Amazon UK","17.99","BIA-S925-CHAIN-036-140-220-250","25/02/2022 00:28:31","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-001-035-700","13/02/2022 03:33:53","1"
"AMAZON FBA","Amazon DE","11.99","BIA-GP-CHAIN-001-035-360","09/02/2022 23:36:55","1"
"AMAZON FBA","Amazon UK","25.99","BIA-S925-CHAIN-020-200-700","24/02/2022 20:08:50","1"
"AMAZON FBA","Amazon DE","13.99","PAV-S925-HOOP-BALI-003-015","04/02/2022 20:17:31","1"
"AMAZON FBA","Amazon DE","25.99","BIA-GP-CHAIN-020-200-500","20/02/2022 01:18:11","1"
"AMAZON FBA","Amazon IT","15.99","BIA-GP-CHAIN-001-035-500","02/02/2022 14:34:21","1"
"AMAZON FBA","Amazon DE","13.99","BIA-GP-CHAIN-008-030-450","23/02/2022 16:15:21","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-019-110-220-250","12/02/2022 17:30:16","1"
"AMAZON FBA","Amazon UK","21.99","BIA-S925-CHAIN-024-190-450","17/02/2022 17:49:18","1"
"AMAZON FBA","Transter AMA CA","72.23","BIA-S925-CHAIN-012-200-650","21/02/2022 00:14:40","1"
"AMAZON FBA","Amazon FR","11.99","GS-S925-CHAIN-EXT-001","06/02/2022 18:35:25","1"
"AMAZON FBA","Transter AMA US","14.83","BIA-S925-CHAIN-020-200-190","20/02/2022 22:46:48","2"
"AMAZON FBA","Amazon IT","12.99","GS-S925-HOOP-007","13/02/2022 12:52:42","1"
"AMAZON FBA","Amazon DE","10.99","GS-S925-CHAIN-EXT-001","06/02/2022 20:26:37","1"
"AMAZON","Transter AMA CA","24.51","BIA-S925-CHAIN-012-100-500","14/02/2022 14:45:13","1"
"AMAZON FBA","Amazon FR","11.99","GS-S925-CHAIN-EXT-001","10/02/2022 02:06:47","1"
"AMAZON FBA","Amazon FR","11.99","GS-S925-CHAIN-EXT-001","04/02/2022 23:19:52","1"
"AMAZON FBA","Amazon IT","15.99","BIA-ROSE-CHAIN-008-030-450","12/02/2022 02:16:21","1"
"AMAZON FBA","Amazon UK","8.99","GS-S925-HOOP-007","09/02/2022 22:13:37","1"
"AMAZON FBA","Amazon FR","11.99","GS-GP-CHAIN-EXT-001","02/02/2022 15:25:27","1"
"AMAZON FBA","Transter AMA US","16.9","BIA-GP-CHAIN-015-120-700","22/02/2022 22:44:12","1"
"EBAY","EBAY1","10.29","BIA-ROSE-CHAIN-012-100-450","14/02/2022 14:45:10","1"
"AMAZON FBA","Amazon IT","14.99","BIA-S925-CHAIN-020-200-190","11/02/2022 21:14:36","2"
"AMAZON FBA","Amazon FR","11.99","GS-S925-CHAIN-EXT-001","21/02/2022 02:19:13","1"
"AMAZON FBA","Amazon UK","21.99","BIA-S925-CHAIN-024-190-450","17/02/2022 20:39:39","1"
"AMAZON FBA","Amazon DE","14.99","BIA-S925-CHAIN-006-035-550","25/02/2022 19:57:33","1"
"AMAZON FBA","Amazon DE","10.99","GS-S925-CHAIN-EXT-001","07/02/2022 10:30:17","1"
"AMAZON","Amazon IT","9.99","PAV-S925-EAR-BALL-001-020-2PAIR","09/02/2022 14:29:11","1"
"AMAZON FBA","Amazon ES","9.99","PAV-S925-EAR-BALL-002-020-2PAIR","21/02/2022 02:02:52","1"
"AMAZON FBA","Amazon UK","10.99","GS-GP-CHAIN-EXT-001","21/02/2022 01:27:10","1"
"EBAY","EBAY1","14.99","S925-BLA-NEC-CHA-007-012-700","25/02/2022 14:26:48","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-019-110-220-250","16/02/2022 18:27:48","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-052-040-250","01/02/2022 02:48:18","1"
"AMAZON FBA","Transter AMA MX","1899","G9K-YEL-BRA-CHA-005-190","06/02/2022 05:49:01","1"
"AMAZON FBA","Transter AMA CA","25.87","BIA-GP-CHAIN-020-200-190","24/02/2022 22:33:18","2"
"AMAZON","Amazon DE","9.99","PAV-S925-EAR-BALL-001-020-2PAIR","09/02/2022 14:29:11","1"
"AMAZON FBA","Amazon UK","14.99","BIA-S925-CHAIN-019-110-450","27/02/2022 16:07:51","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-CHAIN-012-100-500","14/02/2022 19:37:12","1"
"AMAZON FBA","Amazon FR","14.99","BIA-S925-CHAIN-012-100-500","16/02/2022 10:28:00","1"
"AMAZON FBA","Amazon FR","11.99","GS-GP-CHAIN-EXT-001","12/02/2022 19:52:47","1"
"AMAZON FBA","Amazon DE","10.99","GS-S925-CHAIN-EXT-001","10/02/2022 03:26:12","1"
"AMAZON FBA","Amazon UK","17.99","BIA-S925-CHAIN-036-140-220-250","06/02/2022 16:33:41","1"
"AMAZON FBA","Amazon DE","15.99","BIA-S925-CHAIN-016-350-190","04/02/2022 22:21:35","1"
"AMAZON FBA","Amazon IT","13.99","BIA-S925-CHAIN-045-140-180","02/02/2022 08:42:26","1"
"AMAZON FBA","Amazon ES","11.99","BIA-GP-HOOP-HIN-010","27/02/2022 12:19:09","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-020-200-190","24/02/2022 21:35:17","1"
"AMAZON","Transter AMA US","17.09","BIA-S925-HOOP-003","14/02/2022 14:45:17","1"
"AMAZON FBA","Amazon UK","14.99","BIA-S925-HOOP-003","05/02/2022 18:50:54","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-CHAIN-006-035-500","07/02/2022 13:58:55","1"
"AMAZON FBA","Amazon IT","9.99","BIA-S925-CHAIN-001-030-600","21/02/2022 05:45:58","1"
"AMAZON FBA","Transter AMA US","21.98","BIA-S925-CHAIN-051-250-600","13/02/2022 08:15:48","1"
"AMAZON FBA","Amazon ES","20.99","BIA-S925-CHAIN-029-500-190","22/02/2022 00:19:10","1"
"AMAZON FBA","Amazon IT","17.99","BIA-S925-CHAIN-052-040-500","01/02/2022 02:32:43","1"
"AMAZON FBA","Transter AMA US","27.77","BIA-S925-CHAIN-013-075-190","13/02/2022 08:24:22","1"
"AMAZON FBA","Amazon DE","12.99","BIA-S925-CHAIN-006-035-450","22/02/2022 16:11:59","1"
"AMAZON FBA","Transter AMA US","11.97","BIA-S925-CHAIN-019-110-180","08/02/2022 17:19:02","1"
"AMAZON FBA","Amazon DE","13.99","BIA-S925-CHAIN-006-035-500","16/02/2022 11:43:02","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","14/02/2022 04:54:30","1"
"AMAZON FBA","Amazon UK","22.99","BIA-S925-CHAIN-016-350-450","12/02/2022 23:35:36","1"
"AMAZON FBA","Amazon FR","22.99","BIA-S925-CHAIN-051-250-600","06/02/2022 13:07:48","1"
"AMAZON FBA","Transter AMA CA","19.42","BIA-S925-CHAIN-052-040-200","04/02/2022 03:55:16","1"
"AMAZON FBA","Amazon UK","20.99","GS-S925-BRA-SLI-001","09/02/2022 21:04:58","1"
"AMAZON FBA","Amazon IT","12.29","S925-BC-0396-PEN-3H","23/02/2022 03:58:37","1"
"AMAZON FBA","Amazon IT","17.99","BIA-S925-CHAIN-052-040-500","07/02/2022 23:48:25","1"
"AMAZON FBA","Amazon DE","14.99","BIA-S925-HOOP-HIN-020","16/02/2022 01:07:39","1"
"AMAZON FBA","Amazon UK","9.99","BIA-S925-HOOP-002","03/02/2022 13:22:42","1"
"AMAZON FBA","Transter AMA US","11.76","BIA-S925-CHAIN-019-110-180","05/02/2022 02:47:00","1"
"AMAZON FBA","Amazon ES","13.64","S925-WHI-EAR-CEL-003","19/02/2022 22:25:12","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","19/02/2022 20:33:28","1"
"AMAZON FBA","Amazon DE","19.99","BIA-S925-CHAIN-029-500-190","13/02/2022 23:07:23","1"
"AMAZON FBA","Transter AMA US","14.73","BIA-S925-HOOP-002","24/02/2022 17:58:59","1"
"AMAZON FBA","Amazon UK","89.99","S925-WHI-NEC-CHA-024-079-550","04/02/2022 03:17:04","1"
"AMAZON FBA","Amazon IT","18.99","BIA-S925-CHAIN-015-120-900","08/02/2022 01:29:25","1"
"SHOPIFY","ShopifyUK","32.79","BIA-GP-CHAIN-060-200","04/02/2022 14:26:08","1"
"AMAZON FBA","Amazon DE","16.99","BIA-GP-CHAIN-041-220-250","11/02/2022 20:57:17","1"
"AMAZON FBA","Amazon UK","10.81","S925-BC-0396-PEN-3H","23/02/2022 00:27:38","1"
"AMAZON FBA","Amazon DE","12.99","S925-YEL-BRA-CHA-042-190","05/02/2022 12:38:15","1"
"AMAZON FBA","Amazon IT","14.99","S925-YEL-BRA-CHA-042-180","22/02/2022 23:52:42","1"
"AMAZON FBA","Transter AMA US","12.29","BIA-S925-CHAIN-015-120-450","22/02/2022 16:02:24","1"
"AMAZON","Amazon FR","13.99","BIA-ROSE-CHAIN-001-035-450","21/02/2022 14:45:38","1"
"AMAZON FBA","Transter AMA US","17.26","S925-WHI-RIN-GEM-001-N","25/02/2022 15:10:19","1"
"AMAZON FBA","Amazon DE","13.1","BIA-ROSE-CHAIN-001-035-450","20/02/2022 22:14:43","1"
"AMAZON FBA","Amazon ES","13.99","S925-BC-0396-PEN-3H","23/02/2022 02:35:05","1"
"AMAZON FBA","Amazon DE","19.99","BIA-S925-CHAIN-029-500-190","17/02/2022 04:23:20","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-CHAIN-031-230-360","06/02/2022 00:06:36","1"
"AMAZON FBA","Amazon IT","9.99","BIA-S925-CHAIN-052-040-200","27/02/2022 21:27:07","1"
"AMAZON","Amazon DE","12.99","BIA-S925-CHAIN-006-035-450","07/02/2022 14:28:26","1"
"AMAZON FBA","Amazon ES","17.99","BIA-S925-CHAIN-005-060-180","08/02/2022 17:52:00","1"
"AMAZON FBA","Amazon DE","13.99","BIA-GP-CHAIN-020-200-180","14/02/2022 00:24:45","2"
"AMAZON FBA","Amazon DE","17.99","BIA-S925-CHAIN-025-170-450","17/02/2022 04:07:32","1"
"AMAZON FBA","Amazon DE","13.99","BIA-ROSE-CHAIN-001-035-500","24/02/2022 08:12:50","1"
"AMAZON FBA","Amazon UK","10.99","BIA-ROSE-CHAIN-001-035-450","04/02/2022 16:27:17","2"
"AMAZON FBA","Amazon DE","18.14","S925-WHI-EAR-STUD-SWA-006-296","09/02/2022 08:47:16","1"
"AMAZON","Transter AMA CA","24.45","BIA-S925-CHAIN-012-100-600","04/02/2022 14:26:11","1"
"AMAZON FBA","Transter AMA US","14.98","BIA-S925-HOOP-002","24/02/2022 05:45:37","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-HOOP-002","26/02/2022 01:55:27","1"
"AMAZON FBA","Transter AMA AU","11.99","S925-WHI-EAR-STUD-PERL-002-6to7","24/02/2022 05:09:19","1"
"AMAZON FBA","Amazon FR","21.99","BIA-S925-CHAIN-024-140-600","21/02/2022 15:05:29","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","09/02/2022 22:43:22","1"
"AMAZON FBA","Amazon ES","35.99","BIA-S925-CHAIN-029-500-450","22/02/2022 19:20:59","1"
"AMAZON FBA","Amazon FR","22.17","BIA-S925-CHAIN-029-500-190","17/02/2022 19:25:43","1"
"AMAZON FBA","Amazon ES","13.99","S925-WHI-EAR-SWA-005-266","21/02/2022 09:14:59","1"
"AMAZON FBA","Amazon DE","20.99","GS-GP-PEN-COIN-001","02/02/2022 22:14:07","1"
"AMAZON","Transter AMA CA","24.45","BIA-S925-CHAIN-012-100-600","07/02/2022 14:28:29","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-CHAIN-006-035-500","23/02/2022 15:20:31","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-HOOP-HIN-020","13/02/2022 17:57:21","1"
"AMAZON","Amazon UK","8.99","BIA-S925-CHAIN-052-040-200","16/02/2022 14:42:05","3"
"AMAZON FBA","Amazon UK","9.99","BIA-S925-CHAIN-019-110-200","07/02/2022 00:34:46","1"
"AMAZON FBA","Amazon ES","12.99","BIA-GP-CHAIN-001-035-450","04/02/2022 09:24:59","1"
"AMAZON FBA","Amazon ES","17.99","BIA-S925-CHAIN-005-060-180","01/02/2022 14:18:08","1"
