asin,afntotalquantity,subsource,sellerSku,AfnListingExists
"B09V1BCPJ2","0","Transter AMA AU","AU-S925-YEL-NEC-CHA-024-055-410-FBA","1"
"B09V1DTCMF","0","Transter AMA AU","AU-S925-YEL-NEC-CHA-024-055-450-FBA","1"
"B09V1DJWKD","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-024-079-410-FBA","1"
"B09V1BJW9B","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-024-079-450-FBA","1"
"B09V1D8JJB","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-024-079-500-FBA","1"
"B09V1F995Q","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-030-400-FBA","1"
"B09V1DW4Y7","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-030-450-FBA","1"
"B09V1FGMJ2","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-030-600-FBA","1"
"B09V1CW7ZX","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-036-400-FBA","1"
"B09V1DFDBP","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-036-450-FBA","1"
"B09V1CGXQ2","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-036-600-FBA","1"
"B09V1DLQ39","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-044-400-FBA","1"
"B09V1FTGQL","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-044-450-FBA","1"
"B09V1DS2N4","4","Transter AMA AU","AU-S925-YEL-NEC-CHA-029-044-600-FBA","1"
"B09V1H5ZXB","8","Amazon UK","GB-S925-YEL-NEC-CHA-028-030-410-FBA","1"
"B09V1FD1WX","9","Amazon UK","GB-S925-YEL-NEC-CHA-028-030-450-FBA","1"
"B09V1DSXZQ","10","Amazon UK","GB-S925-YEL-NEC-CHA-028-030-500-FBA","1"
"B09V1FQDDL","10","Amazon UK","GB-S925-YEL-NEC-CHA-028-045-410-FBA","1"
"B09V1C6BH3","7","Amazon UK","GB-S925-YEL-NEC-CHA-028-045-450-FBA","1"
"B09V1CZVLN","6","Amazon UK","GB-S925-YEL-NEC-CHA-028-045-500-FBA","1"
"B09V1G42B4","0","Transter AMA CA","CA-S925-WHI-NEC-CHA-027-055-410-FBA","1"
"B09V1G69L7","0","Transter AMA CA","CA-S925-WHI-NEC-CHA-027-028-410-FBA","1"
"B09V1GK6WK","0","Transter AMA CA","CA-S925-WHI-NEC-CHA-027-028-450-FBA","1"
"B09V1GPRKF","0","Transter AMA CA","CA-S925-YEL-NEC-CHA-027-028-450-FBA","1"
"B09V1FLR9R","0","Transter AMA CA","CA-S925-YEL-NEC-CHA-027-028-500-FBA","1"
"B09V1FP8TW","5","Transter AMA CA","CA-S925-YEL-NEC-CHA-027-055-410-FBA","1"
"B09V1G2K3S","5","Transter AMA CA","CA-S925-YEL-NEC-CHA-027-055-450-FBA","1"
"B09V1CZVLN","5","Transter AMA CA","CA-S925-YEL-NEC-CHA-028-045-500-FBA","1"
"B09V1DSXZQ","5","Transter AMA CA","CA-S925-YEL-NEC-CHA-028-030-500-FBA","1"
