source,subsource,Unit_Total_Cost,ItemNumber,dprocessedon,Total
"AMAZON FBA","Transter AMA CA","19.42","BIA-S925-CHAIN-052-040-200","02/03/2022 02:27:17","1"
"AMAZON FBA","Amazon UK","9.99","BIA-S925-CHAIN-049-020-450","06/03/2022 14:26:57","1"
"AMAZON FBA","Amazon IT","16.99","BIA-S925-HOOP-HIN-020","09/03/2022 20:16:52","1"
"AMAZON FBA","Amazon FR","35.99","BIA-S925-CHAIN-029-500-450","01/03/2022 14:37:28","1"
"AMAZON FBA","Amazon IT","14.99","PAV-S925-EAR-CRAW-004","14/03/2022 22:17:43","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","14/03/2022 17:48:07","1"
"AMAZON","Transter AMA US","12.97","BIA-ROSE-CHAIN-001-035-450","28/03/2022 13:40:37","1"
"AMAZON FBA","Transter AMA CA","19.09","BIA-S925-CHAIN-052-040-200","08/03/2022 00:55:46","1"
"AMAZON FBA","Transter AMA CA","25.64","BIA-S925-HOOP-002","07/03/2022 18:03:21","1"
"AMAZON FBA","Amazon FR","89.99","S925-WHI-NEC-CHA-024-079-500","04/03/2022 22:47:57","1"
"AMAZON FBA","Amazon ES","13.99","BIA-GP-CHAIN-015-120-450","20/03/2022 13:08:20","1"
"AMAZON FBA","Amazon UK","14.99","BIA-S925-HOOP-003","31/03/2022 19:37:38","1"
"AMAZON FBA","Amazon FR","16.99","BIA-S925-CHAIN-008-060-200","21/03/2022 14:32:17","1"
"AMAZON FBA","Transter AMA CA","26.32","BIA-S925-CHAIN-012-100-600","02/03/2022 21:55:17","1"
"AMAZON FBA","Transter AMA CA","49.37","BIA-S925-CHAIN-013-075-190","18/03/2022 06:58:45","1"
"AMAZON FBA","Amazon UK","10.99","S925-BC-0396-PEN-3H","15/03/2022 17:12:08","1"
"AMAZON","Amazon DE","13.99","BIA-S925-CHAIN-006-035-500","29/03/2022 13:35:14","1"
"EBAY","EBAY1","8.89","S925-BC-8282-EAR-1W","23/03/2022 14:44:02","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","26/03/2022 11:50:48","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-012-100-600","18/03/2022 18:00:27","1"
