SKU,Location,Quantity
"BIA-S925-CHAIN-008-035-400","Default",0
"BIA-GP-CHAIN-001-035-360","Default",93
"S925-WHI-NEC-CHA-024-079-410","Default",0
"BIA-S925-CHAIN-001-030-600","Default",526
"PAV-S925-EAR-CEL-002","Default",0
"BIA-ROSE-CHAIN-008-030-450","Default",51
"G9K-YEL-RIN-WED-001-035-W","Default",0
"BIA-ROSE-CHAIN-025-170-500","Default",0
"S925-WHI-EAR-SWA-002-266","Default",0
"S925-BC-5948-EAR-2Y","Default",0
"S925-YEL-PEN-TREE-004","Default",12
"BIA-GP-CHAIN-031-230-600","Default",0
"BIA-ROSE-CHAIN-020-200-450","Default",0
"BIA-GP-CHAIN-020-200-600","Default",0
"BIA-S925-CHAIN-044-630-450","Default",0
"S925-WHI-EAR-STUD-ZOD-001-VIR","Default",0
"BIA-ROSE-CHAIN-013-075-190","Default",0
"BIA-GP-CHAIN-041-220-450","Default",0
"GL-9K-CHAIN-005-140-510","Default",61
"S925-WHI-EAR-DROP-SWA-001-001","Default",0
"S925-WHI-EAR-DROP-SWA-001-001","********USE ME ON HOLD*********",288
"BIA-S925-CHAIN-026-220-500","Default",0
"BIA-S925-CHAIN-010-060-500","Default",0
"G9K-YEL-PEN-KEY-001","Default",55
"S925-WHI-EAR-HOOP-PEN-008-012","********USE ME ON HOLD*********",208
"S925-WHI-NEC-PEN-CZ-001-515","********USE ME ON HOLD*********",150
"S925-YEL-EAR-HOOP-020-020","Default",21
"BIA-S925-CHAIN-001-050-450","Default",0
"BIA-GP-CHAIN-019-110-450","Default",0
"G9K-YEL-RIN-WED-001-025-T","Default",0
"G9K-YEL-RIN-WED-001-025-T","********USE ME ON HOLD*********",25
"GS-ROSE-HOOP-025","Default",0
"TIE-S925-ANK-010","Default",0
"BIA-S925-CHAIN-008-025-500","Default",0
"BIA-GP-CHAIN-060-200","Default",10
"BIA-ROSE-CHAIN-024-140-400","Default",0
"S925-YEL-BRA-CHA-045-084-205","Default",34
"PAV-S925-EAR-CRAW-001","Default",44
"BIA-S925-CHAIN-023-150-550","Default",0
"S925-WHI-NEC-CHA-024-055-550","Default",0
"S925-WHI-PEN-LET-001-Y","Default",18
"S925-WHI-EAR-CEL-005","Default",26
"S925-WHI-EAR-STUD-ZOD-001-SCO","Default",0
"S925-YEL-NEC-CHA-027-055-500","Default",0
"S925-WHI-RIN-HAM-001-O","Default",71
"S925-BAW-BRA-CHA-012-190","Default",3
"GS-S925-BRA-SLI-002","Default",0
"G9K-YEL-RIN-WED-001-035-U","********USE ME ON HOLD*********",20
"BIA-S925-CHAIN-052-040-200","Default",40
"S925-WHI-EAR-HOOP-015-035","Default",0
"GS-S925-EAR-CRY-001-AQ","Default",0
"S925-WHI-EAR-STUD-ZOD-001-CAN","Default",33
"BIA-ROSE-CHAIN-020-200-500","Default",79
"BIA-S925-CHAIN-043-200-500","Default",0
"S925-BC-8289-EAR","Default",0
